"","date","TSLA.Close","MSFT.Close"
"1","2016-01-11",207.850006,52.299999
"2","2016-01-12",209.970001,52.779999
"3","2016-01-13",200.309998,51.639999
"4","2016-01-14",206.179993,53.110001
"5","2016-01-15",204.990005,50.990002
"6","2016-01-19",204.720001,50.560001
"7","2016-01-20",198.699997,50.790001
"8","2016-01-21",199.970001,50.48
"9","2016-01-22",202.550003,52.290001
"10","2016-01-25",196.380005,51.790001
"11","2016-01-26",193.559998,52.169998
"12","2016-01-27",188.070007,51.220001
"13","2016-01-28",189.699997,52.060001
"14","2016-01-29",191.199997,55.09
"15","2016-02-01",196.940002,54.709999
"16","2016-02-02",182.779999,53
"17","2016-02-03",173.479996,52.16
"18","2016-02-04",175.330002,52
"19","2016-02-05",162.600006,50.16
"20","2016-02-08",147.990005,49.41
"21","2016-02-09",148.25,49.279999
"22","2016-02-10",143.669998,49.709999
"23","2016-02-11",150.470001,49.689999
"24","2016-02-12",151.039993,50.5
"25","2016-02-16",155.169998,51.09
"26","2016-02-17",168.679993,52.419998
"27","2016-02-18",166.770004,52.189999
"28","2016-02-19",166.580002,51.82
"29","2016-02-22",177.740005,52.650002
"30","2016-02-23",177.210007,51.18
"31","2016-02-24",179,51.360001
"32","2016-02-25",187.429993,52.099998
"33","2016-02-26",190.339996,51.299999
"34","2016-02-29",191.929993,50.880001
"35","2016-03-01",186.350006,52.580002
"36","2016-03-02",188.339996,52.950001
"37","2016-03-03",195.740005,52.349998
"38","2016-03-04",201.039993,52.029999
"39","2016-03-07",205.289993,51.029999
"40","2016-03-08",202.600006,51.650002
"41","2016-03-09",208.720001,52.84
"42","2016-03-10",205.179993,52.049999
"43","2016-03-11",207.5,53.07
"44","2016-03-14",215.149994,53.169998
"45","2016-03-15",218.339996,53.59
"46","2016-03-16",221.929993,54.349998
"47","2016-03-17",226.380005,54.66
"48","2016-03-18",232.740005,53.490002
"49","2016-03-21",238.320007,53.860001
"50","2016-03-22",234.240005,54.07
"51","2016-03-23",222.580002,53.970001
"52","2016-03-24",227.75,54.209999
"53","2016-03-28",230.259995,53.540001
"54","2016-03-29",230.130005,54.709999
"55","2016-03-30",226.889999,55.049999
"56","2016-03-31",229.770004,55.23
"57","2016-04-01",237.589996,55.57
"58","2016-04-04",246.990005,55.43
"59","2016-04-05",255.470001,54.560001
"60","2016-04-06",265.420013,55.119999
"61","2016-04-07",257.200012,54.459999
"62","2016-04-08",250.070007,54.419998
"63","2016-04-11",249.919998,54.310001
"64","2016-04-12",247.820007,54.650002
"65","2016-04-13",254.529999,55.349998
"66","2016-04-14",251.860001,55.360001
"67","2016-04-15",254.509995,55.650002
"68","2016-04-18",253.880005,56.459999
"69","2016-04-19",247.369995,56.389999
"70","2016-04-20",249.970001,55.59
"71","2016-04-21",248.289993,55.779999
"72","2016-04-22",253.75,51.779999
"73","2016-04-25",251.820007,52.110001
"74","2016-04-26",253.740005,51.439999
"75","2016-04-27",251.470001,50.939999
"76","2016-04-28",247.710007,49.900002
"77","2016-04-29",240.759995,49.869999
"78","2016-05-02",241.800003,50.610001
"79","2016-05-03",232.320007,49.779999
"80","2016-05-04",222.559998,49.869999
"81","2016-05-05",211.529999,49.939999
"82","2016-05-06",214.929993,50.389999
"83","2016-05-09",208.919998,50.07
"84","2016-05-10",208.690002,51.02
"85","2016-05-11",208.960007,51.049999
"86","2016-05-12",207.279999,51.509998
"87","2016-05-13",207.610001,51.080002
"88","2016-05-16",208.289993,51.830002
"89","2016-05-17",204.660004,50.509998
"90","2016-05-18",211.169998,50.810001
"91","2016-05-19",215.210007,50.32
"92","2016-05-20",220.279999,50.619999
"93","2016-05-23",216.220001,50.029999
"94","2016-05-24",217.910004,51.59
"95","2016-05-25",219.580002,52.119999
"96","2016-05-26",225.119995,51.889999
"97","2016-05-27",223.039993,52.32
"98","2016-05-31",223.229996,53
"99","2016-06-01",219.559998,52.849998
"100","2016-06-02",218.960007,52.48
"101","2016-06-03",218.990005,51.790001
"102","2016-06-06",220.679993,52.130001
"103","2016-06-07",232.339996,52.099998
"104","2016-06-08",235.520004,52.040001
"105","2016-06-09",229.360001,51.619999
"106","2016-06-10",218.789993,51.48
"107","2016-06-13",217.869995,50.139999
"108","2016-06-14",214.960007,49.830002
"109","2016-06-15",217.699997,49.689999
"110","2016-06-16",217.929993,50.389999
"111","2016-06-17",215.470001,50.130001
"112","2016-06-20",219.699997,50.07
"113","2016-06-21",219.610001,51.189999
"114","2016-06-22",196.660004,50.990002
"115","2016-06-23",196.399994,51.91
"116","2016-06-24",193.149994,49.830002
"117","2016-06-27",198.550003,48.43
"118","2016-06-28",201.789993,49.439999
"119","2016-06-29",210.190002,50.540001
"120","2016-06-30",212.279999,51.169998
"121","2016-07-01",216.5,51.16
"122","2016-07-05",213.979996,51.169998
"123","2016-07-06",214.440002,51.380001
"124","2016-07-07",215.940002,51.380001
"125","2016-07-08",216.779999,52.299999
"126","2016-07-11",224.779999,52.59
"127","2016-07-12",224.649994,53.209999
"128","2016-07-13",222.529999,53.509998
"129","2016-07-14",221.529999,53.740002
"130","2016-07-15",220.399994,53.700001
"131","2016-07-18",226.25,53.959999
"132","2016-07-19",225.259995,53.09
"133","2016-07-20",228.360001,55.91
"134","2016-07-21",220.5,55.799999
"135","2016-07-22",222.270004,56.57
"136","2016-07-25",230.009995,56.73
"137","2016-07-26",229.509995,56.759998
"138","2016-07-27",228.490005,56.189999
"139","2016-07-28",230.610001,56.209999
"140","2016-07-29",234.789993,56.68
"141","2016-08-01",230.009995,56.580002
"142","2016-08-02",227.199997,56.580002
"143","2016-08-03",225.789993,56.970001
"144","2016-08-04",230.610001,57.389999
"145","2016-08-05",230.029999,57.959999
"146","2016-08-08",226.160004,58.060001
"147","2016-08-09",229.080002,58.200001
"148","2016-08-10",225.649994,58.02
"149","2016-08-11",224.910004,58.299999
"150","2016-08-12",225.610001,57.939999
"151","2016-08-15",225.589996,58.119999
"152","2016-08-16",223.610001,57.439999
"153","2016-08-17",223.240005,57.560001
"154","2016-08-18",223.509995,57.599998
"155","2016-08-19",225,57.619999
"156","2016-08-22",222.929993,57.669998
"157","2016-08-23",224.839996,57.889999
"158","2016-08-24",222.619995,57.950001
"159","2016-08-25",220.960007,58.169998
"160","2016-08-26",219.990005,58.029999
"161","2016-08-29",215.199997,58.099998
"162","2016-08-30",211.339996,57.889999
"163","2016-08-31",212.009995,57.459999
"164","2016-09-01",200.770004,57.59
"165","2016-09-02",197.779999,57.669998
"166","2016-09-06",202.830002,57.610001
"167","2016-09-07",201.710007,57.66
"168","2016-09-08",197.360001,57.43
"169","2016-09-09",194.470001,56.209999
"170","2016-09-12",198.300003,57.049999
"171","2016-09-13",196.050003,56.529999
"172","2016-09-14",196.410004,56.259998
"173","2016-09-15",200.419998,57.189999
"174","2016-09-16",205.399994,57.25
"175","2016-09-19",206.339996,56.93
"176","2016-09-20",204.639999,56.810001
"177","2016-09-21",205.220001,57.759998
"178","2016-09-22",206.429993,57.82
"179","2016-09-23",207.449997,57.43
"180","2016-09-26",208.990005,56.900002
"181","2016-09-27",205.809998,57.950001
"182","2016-09-28",206.270004,58.029999
"183","2016-09-29",200.699997,57.400002
"184","2016-09-30",204.029999,57.599998
"185","2016-10-03",213.699997,57.419998
"186","2016-10-04",211.410004,57.240002
"187","2016-10-05",208.460007,57.639999
"188","2016-10-06",201,57.740002
"189","2016-10-07",196.610001,57.799999
"190","2016-10-10",200.949997,58.040001
"191","2016-10-11",200.100006,57.189999
"192","2016-10-12",201.509995,57.110001
"193","2016-10-13",200.240005,56.919998
"194","2016-10-14",196.509995,57.419998
